,title,rating,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,roast_level,roaster,roaster_location,dollars_per_ounce
3004,Burundi Ngozi Gihere 2,91,7.0,9,9,8,"['dry', 'and', 'brisk', 'yet', 'juicy', 'layered', 'dark', 'berry', 'and', 'tamarind', 'notes', 'in', 'aroma', 'and', 'cup', 'with', 'hints', 'of', 'orange', 'and', 'cocoa', 'crisp', 'acidity;', 'lightly', 'syrupy', 'mouthfeel', 'the', 'dry', 'berry', 'note', 'carries', 'deep', 'into', 'the', 'finish', '']",Burundi,16.75/12 ounces,Medium-Light,Terroir Coffee,"Acton, Massachusetts",1.3958333333333333
3005,Burundi Kirimiro Teka Lot 2,91,7.0,9,8,9,"['dry', 'crisply', 'juicy', 'tart', 'berry', 'cocoaish', 'nut', 'peach', 'lavender-like', 'flowers', 'in', 'aroma', 'and', 'cup', 'brisk', 'acidity;', 'light', 'silky', 'mouthfeel', 'long', 'dry', 'finish', '']",Burundi,16.99/12 ounces,Medium-Light,Bird Rock Coffee Roasters,"La Jolla, California",1.4158333333333333
3006,Rwanda Kinunu,91,8.0,8,8,9,"['brisk', 'delicate', 'complex', 'apricot', 'mandarin', 'orange', 'dark', 'chocolate', 'night', 'flowers', 'in', 'aroma', 'and', 'cup', 'gently', 'crisp', 'acidity;', 'silky', 'mouthfeel', 'richly', 'dry', 'flavor-saturated', 'finish', '']",Rwanda,12.99/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.0825
3007,Rwanda Buremera,90,8.0,8,8,8,"['lush', 'ripe', 'cherry', 'and', 'table', 'grape', 'in', 'aroma', 'and', 'cup', 'complemented', 'by', 'a', 'dry', 'savory', 'cedar', 'note', 'particularly', 'in', 'the', 'cup', 'crisp', 'delicately', 'balanced', 'acidity;', 'lightly', 'syrupy', 'mouthfeel', 'simple', 'but', 'rich', 'finish', '']",Rwanda,16.95/16 ounces,Medium,Equator Coffees & Teas,"San Rafael, California",1.059375
3008,Tanzania Nzovu,90,7.0,8,9,8,"['brisk', 'cedary', 'berry', 'notes', 'dominate', 'in', 'aroma', 'and', 'cup', 'with', 'hints', 'of', 'cocoa', 'and', 'a', 'rounder', 'juicier', 'fruit', 'cherry', 'perhaps', 'softly', 'balanced', 'acidity;', 'impressively', 'plush', 'lightly', 'syrupy', 'mouthfeel', 'rich', 'straightforward', 'finish']","Mbeya growing region, southwestern Tanzania.",15.50/12 ounces,Medium,Temple Coffee and Tea,"Sacramento, California",1.2916666666666667
3009,Tanzania Mpito,90,8.0,8,8,8,"['round', 'sweet-toned', 'gently', 'plush', 'cocoa', 'flowers', 'plum-like', 'fruit', 'in', 'aroma', 'and', 'cup', 'delicate', 'crisp', 'acidity;', 'light', 'but', 'smooth', 'mouthfeel', 'flavor', 'carries', 'into', 'a', 'gently', 'rich', 'finish']","Mbeya growing region, southwestern Tanzania.",14.75/12 ounces,Medium,Kean Coffee,"Newport Beach, California",1.2291666666666667
3010,Burundi Sogestal Mumirwa,90,8.0,8,8,8,"['crisp', 'lavender-like', 'flowers', 'dominate', 'with', 'hints', 'of', 'lemon', 'blackberry', 'and', 'honey', 'in', 'aroma', 'and', 'cup', 'a', 'spicy', 'savory', 'suggestion', 'deepens', 'the', 'cup', 'gently', 'and', 'sweetly', 'tart', 'acidity;', 'silky', 'mouthfeel', 'rich', 'bittersweet', 'finish', '']",Burundi,14.00/12 ounces,Medium,Temple Coffee and Tea,"Sacramento, California",1.1666666666666667
3011,Espresso Monk’s Momentum,90,8.0,9,7,8,"['sweet-toned', 'peach', 'and', 'caramel', 'in', 'the', 'aroma', 'give', 'way', 'to', 'pungent', 'mango-like', 'fruit', 'and', 'dark', 'chocolate', 'in', 'the', 'small', 'cup', 'with', 'a', 'complicating', 'hint', 'of', 'savory', 'cedar', 'slightly', 'lean', 'but', 'smooth', 'mouthfeel', 'flavor', 'carries', 'deeply', 'into', 'a', 'long', 'finish', 'delicate', 'in', 'two', 'parts', 'milk', 'where', 'the', 'fruit', 'and', 'chocolate', 'predictably', 'soften', 'and', 'sweeten']",Not disclosed.,13.47/12 ounces,Medium,Vertigo Coffee,"San Juan Bautista, California",1.1225
3012,Bolivia Tres Estrellas Organic,92,8.0,9,8,9,"['distinct', 'rose-like', 'flowers', 'and', 'cocoa-toned', 'nut', 'dominate', 'pleasingly', 'in', 'aroma', 'and', 'cup', 'round', 'gently', 'sweet-toned', 'acidity;', 'lightly', 'plush', 'smooth', 'mouthfeel', 'deep', 'rich', 'finish']","Caranavi growing region, La Paz Department, Bolivia.",16.52/12 ounces,Medium-Light,PT's Coffee Roasting Co.,"Topeka, Kansas",1.3766666666666667
3013,Honduras Roastmaster’s Reserve,93,9.0,8,9,9,"['caramel', 'brown', 'sugar', 'vanilla', 'orange', 'in', 'aroma', 'and', 'cup', 'with', 'a', 'slight', 'shimmering', 'suggestion', 'of', 'violet-like', 'flowers', 'rich', 'deep-toned', 'acidity;', 'syrupy', 'mouthfeel', 'the', 'almost', 'sugary', 'sweetness', 'turns', 'toward', 'chocolate', 'in', 'a', 'resonant', 'finish']",Honduras,15.99/16 ounces,Medium,Caribou Coffee,"Minneapolis, Minnesota",0.999375
