,0
548,aroma
549,cup
550,sweet
551,savory
552,structure
553,sparkling
554,acidity
555,elegantly
556,viscous
557,mouthfeel
558,long
559,lingering
560,cocoa
561,floral
562,finish
563,richly
564,spice
565,floral
566,driven
567,bergamot
568,lilac
569,cocoa
570,nib
571,blackberry
572,wild
573,honey
574,aroma
575,cup
576,complex
577,bittersweet
578,structure
579,juicy
580,balanced
581,acidity
582,plush
583,creamy
584,mouthfeel
585,long
586,flavor
587,saturated
588,finish
589,carries
590,nuance
591,cup
592,high
593,juicy
594,sweet
595,mango
596,cocoa
597,nib
598,magnolia
599,lemongrass
600,pink
601,peppercorn
602,aroma
603,cup
604,sweet
605,tart
606,structure
607,bright
608,balanced
609,acidity
610,syrupy
611,smooth
612,mouthfeel
613,flavor
614,laden
615,finish
616,long
617,lingering
618,centered
619,around
620,notes
621,mango
622,cocoa
623,nib
624,richly
625,aromatic
626,chocolaty
627,fruit
628,dark
629,chocolate
630,dried
631,mango
632,honeysuckle
633,wine
634,barrel
635,marjoram
636,aroma
637,cup
638,richly
639,sweet
640,structure
641,winey
642,acidity
643,plush
644,syrupy
645,smooth
646,mouthfeel
647,long
648,lingering
649,finish
650,centers
651,around
652,notes
653,dark
654,chocolate
655,spicy
656,florals
657,richly
658,floral
659,exceptionally
660,sweet
661,distinct
662,narcissus
663,cocoa
664,nib
665,myrrh
666,blackberry
667,lemon
668,thyme
669,aroma
670,cup
671,complex
672,bittersweet
673,structure
674,floral
675,acidity
676,full
677,syrupy
678,smooth
679,mouthfeel
680,engaging
681,satisfying
682,finish
683,carries
684,aromas
685,flavors
686,cup
687,elegantly
688,bright
689,balanced
690,apricot
691,honeysuckle
692,almond
693,brittle
694,dark
695,chocolate
696,cedar
697,aroma
698,cup
699,richly
700,sweet
701,structure
702,floral
703,acidity
704,lively
705,silky
706,mouthfeel
707,long
708,lingering
709,complexly
710,satiating
711,finish
712,richly
713,spice
714,citrusy
715,sweet
716,ginger
717,blossom
718,dried
719,persimmon
720,concord
721,grape
722,rice
723,candy
724,hint
725,fennel
726,aroma
727,cup
728,brightly
729,sweet
730,structure
731,juicy
732,vibrant
733,acidity
734,lushly
735,vibrant
736,creamy
737,mouthfeel
738,finish
739,quiets
740,pretty
741,notes
742,ginger
743,persimmon
744,bright
745,balanced
746,juicy
747,sweet
748,red
749,plum
750,cocoa
751,nib
752,blood
753,orange
754,star
755,jasmine
756,lemon
757,verbena
758,aroma
759,cup
760,richly
761,sweet
762,structure
763,vibrant
764,acidity
765,full
766,syrupy
767,mouthfeel
768,finish
769,long
770,lingering
771,flavor
772,saturated
773,complex
774,high
775,resiny
776,malt
777,amber
778,pomelo
779,baking
780,chocolate
781,date
782,aroma
783,cup
784,brightly
785,bittersweet
786,structure
787,juicy
788,acidity
789,plush
790,satiny
791,mouthfeel
792,perfumed
793,finish
794,leading
795,notes
796,amber
797,pomelo
798,bright
799,juicy
800,citrusy
801,star
802,jasmine
803,tangerine
804,zest
805,cocoa
806,nib
807,almond
808,hint
809,spearmint
810,aroma
811,cup
812,sweet
813,tart
814,structure
815,nimble
816,acidity
817,smooth
818,satiny
819,mouthfeel
820,floral
821,finish
822,supported
823,notes
824,tangerine
825,zest
826,almond
827,deeply
828,aromatic
829,complex
830,dried
831,mulberry
832,dark
833,chocolate
834,almond
835,butter
836,lilac
837,pink
838,grapefruit
839,zest
840,aroma
841,cup
842,sweet
843,tart
844,structure
845,bright
846,lively
847,acidity
848,satiny
849,smooth
850,mouthfeel
851,chocolaty
852,floral
853,finish
854,undertones
855,almond
856,pink
857,grapefruit
858,zest
859,richly
860,sweet
861,delicately
862,tart
863,complex
864,bergamot
865,star
866,jasmine
867,pluot
868,cocoa
869,nib
870,marjoram
871,aroma
872,cup
873,brightly
874,sweet
875,structure
876,juicy
877,acidity
878,crisp
879,syrupy
880,mouthfeel
881,resonant
882,long
883,lingering
884,finish
885,brightly
886,sweet
887,tart
888,juicy
889,complex
890,goji
891,berry
892,dark
893,chocolate
894,nutmeg
895,dark
896,caramel
897,gardenia
898,aroma
899,cup
900,sweetly
901,tart
902,structure
903,winy
904,acidity
905,full
906,creamy
907,mouthfeel
908,long
909,lingering
910,fruit
911,forward
912,finish
913,deep
914,chocolate
915,undertones
916,deep
917,complex
918,bing
919,cherry
920,cocoa
921,nib
922,butterscotch
923,rhododendron
924,cedar
925,aroma
926,cup
927,sweet
928,tart
929,structure
930,juicy
931,bright
932,acidity
933,smooth
934,syrupy
935,mouthfeel
936,resonant
937,nuanced
938,long
939,finish
940,delicate
941,nuanced
942,richly
943,complex
944,ginger
945,blossom
946,pluot
947,cocoa
948,nib
949,marjoram
950,amber
951,aroma
952,cup
953,sweet
954,structure
955,balanced
956,acidity
957,full
958,syrupy
959,mouthfeel
960,integrated
961,harmonious
962,flavor
963,saturated
964,finish
965,bright
966,balanced
967,floral
968,driven
969,ginger
970,blossom
971,red
972,plum
973,cocoa
974,nib
975,tangerine
976,zest
977,fresh
978,cut
979,oak
980,aroma
981,cup
982,juicy
983,sweet
984,structure
985,lively
986,acidity
987,plush
988,syrupy
989,mouthfeel
990,cocoa
991,finish
992,undertones
993,tangerine
994,zest
995,richly
996,fruit
997,balanced
998,raspberry
999,pink
1000,peppercorn
1001,star
1002,jasmine
1003,cocoa
1004,nib
1005,lemon
1006,thyme
1007,aroma
1008,cup
1009,sweetly
1010,tart
1011,structure
1012,vibrant
1013,acidity
1014,creamy
1015,smooth
1016,mouthfeel
1017,sweetly
1018,herb
1019,finish
1020,leads
1021,notes
1022,raspberry
1023,cocoa
1024,nib
1025,rich
1026,deep
1027,complex
1028,toffee
1029,pomegranate
1030,tangerine
1031,zest
1032,hint
1033,gardenia
1034,cedar
1035,aroma
1036,cup
1037,high
1038,structure
1039,juicy
1040,acidity
1041,vibrant
1042,plush
1043,mouthfeel
1044,long
1045,lingering
1046,harmonious
1047,finish
1048,richly
1049,sweet
1050,savory
1051,mulberry
1052,lemon
1053,verbena
1054,dark
1055,chocolate
1056,pink
1057,grapefruit
1058,zest
1059,magnolia
1060,aroma
1061,cup
1062,crisply
1063,sweet
1064,structure
1065,vibrant
1066,balanced
1067,acidity
1068,plush
1069,syrupy
1070,mouthfeel
1071,chocolaty
1072,finish
1073,undertones
1074,magnolia
1075,pink
1076,grapefruit
1077,zest
1078,rich
1079,deeply
1080,floral
1081,wisteria
1082,cocoa
1083,nib
1084,apricot
1085,maple
1086,syrup
1087,pink
1088,grapefruit
1089,zest
1090,aroma
1091,cup
1092,balanced
1093,sweet
1094,structure
1095,juicy
1096,elegant
1097,acidity
1098,plush
1099,satiny
1100,mouthfeel
1101,finish
1102,flowers
1103,supported
1104,deep
1105,cocoa
1106,notes
1107,richly
1108,floral
1109,crisply
1110,spice
1111,bergamot
1112,ginger
1113,blossom
1114,cocoa
1115,nib
1116,sandalwood
1117,cashew
1118,butter
1119,aroma
1120,cup
1121,sweetly
1122,tart
1123,structure
1124,bright
1125,lovely
1126,acidity
1127,viscous
1128,silky
1129,mouthfeel
1130,resonant
1131,long
1132,flavor
1133,saturated
1134,finish
1135,resonant
1136,sweetly
1137,savory
1138,multi
1139,layered
1140,bing
1141,cherry
1142,black
1143,sage
1144,salted
1145,caramel
1146,cedar
1147,almond
1148,brittle
1149,aroma
1150,cup
1151,sweet
1152,savory
1153,structure
1154,balanced
1155,bright
1156,acidity
1157,full
1158,syrupy
1159,smooth
1160,mouthfeel
1161,long
1162,lingering
1163,richly
1164,aromatic
1165,complex
1166,finish
1167,delicately
1168,aromatic
1169,complex
1170,citrusy
1171,bergamot
1172,candied
1173,violet
1174,cocoa
1175,nib
1176,honeysuckle
1177,pineapple
1178,taffy
1179,aroma
1180,cup
1181,richly
1182,bittersweet
1183,structure
1184,bright
1185,acidity
1186,plush
1187,syrupy
1188,mouthfeel
1189,resonant
1190,long
1191,flavor
1192,laden
1193,finish
1194,carries
1195,promise
1196,cup
1197,spice
1198,complex
1199,deep
1200,baking
1201,spices
1202,dates
1203,blood
1204,orange
1205,cedar
1206,brown
1207,sugar
1208,aroma
1209,cup
1210,sweet
1211,structure
1212,bright
1213,lively
1214,acidity
1215,crisp
1216,creamy
1217,mouthfeel
1218,long
1219,resonant
1220,lingering
1221,integrated
1222,finish
1223,lushly
1224,floral
1225,chocolaty
1226,dark
1227,chocolate
1228,wisteria
1229,fine
1230,musk
1231,dried
1232,lychee
1233,pistachio
1234,aroma
1235,cup
1236,juicy
1237,sweet
1238,savory
1239,structure
1240,floral
1241,acidity
1242,big
1243,syrupy
1244,mouthfeel
1245,pleasingly
1246,tannic
1247,texture
1248,finish
1249,consolidates
1250,notes
1251,musky
1252,tropical
1253,fruit
1254,delicate
1255,perfumy
1256,crisp
1257,pistachio
1258,undertones
1259,deeply
1260,fruit
1261,balanced
